,address,latitude,longitude,response,ZIP
0,518 Oak St,37.77438322,-122.428465,"518 Oak St, San Francisco, CA 94102, USA",94102
1,1455 LAGUNA ST,37.78447941,-122.4279512,"1445 Laguna St, San Francisco, CA 94115, USA",94115
2,828 Chenery St,37.73493264,-122.4361343,"828 Chenery St, San Francisco, CA 94131, USA",94131
3,1357 Eddy St,37.78168514,-122.429877,"1369 Eddy St, San Francisco, CA 94115, USA",94115
4,4203 23rd St,37.75267213,-122.4368645,"4203 23rd St, San Francisco, CA 94114, USA",94114
5,401 08th St,37.77348356,-122.4079436,"420 8th St, San Francisco, CA 94103, USA",94103
6,610 Irving St,37.76420937,-122.4644752,"600 Irving St, San Francisco, CA 94122, USA",94122
7,36 Martha Ave,37.73409545,-122.439787,"36 Martha Ave, San Francisco, CA 94131, USA",94131
8,3339 Lawton St,37.75691859,-122.4988763,"3337 Lawton St, San Francisco, CA 94122, USA",94122
9,3309 Anza St,37.77812976,-122.4837962,"3311 Anza St, San Francisco, CA 94121, USA",94121
10,736 Valencia St,37.76108991,-122.4216399,"736 Valencia St, San Francisco, CA 94110, USA",94110
11,2 Townsend St,37.78186343,-122.3887834,"11 Townsend St, San Francisco, CA 94107, USA",94107
12,101 Pennsylvania Ave,37.76537872,-122.3939659,"1001 17th St, San Francisco, CA 94107, USA",94107
13,86 Valmar Ter,37.7261879,-122.4240365,"86 Valmar Terrace, San Francisco, CA 94112, USA",94112
14,1001 Pine St,37.79058589,-122.4124084,"845 Taylor St, San Francisco, CA 94109, USA",94109
15,1640 Guerrero St,37.7451395,-122.4223317,"1624 Guerrero St, San Francisco, CA 94110, USA",94110
16,3602 25th St,37.75051707,-122.4215077,"296 San Jose Avenue, San Francisco, CA 94110, USA",94110
17,2095 09th Ave,37.74960794,-122.4651079,"2095 9th Ave, San Francisco, CA 94116, USA",94116
18,2345 Lawton St,37.75738621,-122.4882598,"2345 Lawton St, San Francisco, CA 94122, USA",94122
19,239 08th St,37.77579698,-122.4109189,"257 8th St, San Francisco, CA 94103, USA",94103
20,350 West Portal Ave,37.7375043,-122.4700731,"348 W Portal Ave, San Francisco, CA 94127, USA",94127
21,2803 BUSH ST,37.78561154,-122.4435344,"1527 Baker St, San Francisco, CA 94115, USA",94115
22,9 Belcher St,37.76925168,-122.4301741,"449 Duboce Ave, San Francisco, CA 94117, USA",94117
23,2211 15th St,37.76577943,-122.4336752,"2205 15th St, San Francisco, CA 94114, USA",94114
24,500 Grand View Ave,37.75086732,-122.4429084,"Grand View Ave & 24th St, San Francisco, CA 94114, USA",94114
25,1801 Ingalls St,37.72758814,-122.3852559,"1295 Shafter Ave, San Francisco, CA 94124, USA",94124
26,143 Congo St,37.73026152,-122.4421025,"119 Congo St, San Francisco, CA 94131, USA",94131
27,95 Mercedes Way,37.72861825,-122.4705913,"155 Paloma Ave, San Francisco, CA 94127, USA",94127
28,260 Dorantes Ave,37.74504134,-122.4658442,"260 Dorantes Ave, San Francisco, CA 94116, USA",94116
29,2000 16th St,37.76589391,-122.4068561,"280 Utah St, San Francisco, CA 94103, USA",94103
30,701 Delta St,37.71178257,-122.4096978,"1047 Visitacion Ave, San Francisco, CA 94134, USA",94134
31,1847 GRANT AVE,37.80404104,-122.4082985,"1845 Grant Ave, San Francisco, CA 94133, USA",94133
32,526 Hugo St,37.76517226,-122.4634713,"506 Hugo St, San Francisco, CA 94122, USA",94122
33,300 Broderick St,37.77366327,-122.4391582,"1275 Fell St, San Francisco, CA 94117, USA",94117
34,2100 Alameda St,37.76853339,-122.4062449,"45-99 Utah St, San Francisco, CA 94103, USA",94103
35,101 Saint Joseph's Ave,37.78043946,-122.4412553,"980 Baker St, San Francisco, CA 94115, USA",94115
36,3995X Alemany Blvd,37.71069117,-122.4687572,"3981 Alemany Blvd, San Francisco, CA 94132, USA",94132
37,2X STANFORD ST,37.78129787,-122.392674,"1 Stanford St, San Francisco, CA 94107, USA",94107
38,120 Saint Germain Ave,37.75744441,-122.4497595,"75 St Germain Ave, San Francisco, CA 94114, USA",94114
39,1961 SUTTER ST,37.78609399,-122.4326186,"1955 Sutter St, San Francisco, CA 94115, USA",94115
40,212 Staples Ave,37.72912044,-122.4469249,"301 Edna St, San Francisco, CA 94112, USA",94112
41,100 BUCHANAN ST,37.77121874,-122.4265325,"188 Buchanan St, San Francisco, CA 94102, USA",94102
42,851 48th Ave,37.77190753,-122.5089451,"882 48th Ave, San Francisco, CA 94121, USA",94121
43,45 Rose St,37.77363389,-122.4216279,"1658 Market St, San Francisco, CA 94102, USA",94102
44,1475 Mission St,37.77452107,-122.4167294,"1475 Mission St, San Francisco, CA 94103, USA",94103
45,1700 22nd St,37.75739878,-122.3982668,"698 Arkansas St, San Francisco, CA 94107, USA",94107
46,22 Saturn St,37.76277651,-122.4412773,"22 Saturn St, San Francisco, CA 94114, USA",94114
47,355 Hazelwood Ave,37.73358605,-122.4561443,"361 Hazelwood Ave, San Francisco, CA 94127, USA",94127
